ตำแหน่ง,กลุ่ม,ลิงก์กลุ่ม,วิชาทั้งหมด,ลงแล้ว,ยังไม่ลงตาม Dashboard,ช่องสถานะว่าง,ต้องตรวจรวม,% สำเร็จ,ต้องตรวจที่มีคลิปในเครื่อง,ตรงมาก,น่าจะตรง,ต้องตรวจคลิป,ต้องตรวจที่ยังไม่พบคลิป,อัปเดตล่าสุด,รายการล่าสุด
กรมคุ้มครองสิทธิและเสรีภาพ,กรมคุ้มครองสิทธิและเสรีภาพ by พี่ซุนวู,https://www.facebook.com/groups/2212543922835815,23,7,16,0,16,30%,5,3,0,2,11,18 มิ.ย. 2569 18:29,พระราชบัญญัติ ป้องกันและปราบปรามการทรมานและการกระทำให้บุคคล สูญหาย พ.ศ. 2565
นักส่งเสริมการปกครองท้องถิ่น,นักส่งเสริมการปกครองท้องถิ่น,https://www.facebook.com/groups/1465610431618325/announcements?locale=th_TH,21,7,14,0,14,33%,4,2,0,2,10,11 มิ.ย. 2569 18:09,พระราชบัญญัติ วิธีปฏิบัติราชการทางปกครอง พ.ศ. 2539 และที่แก้ไขเพิ่มเติม
กทม. พนักงานเทศกิจปฏิบัติงาน,กทม. พนักงานเทศกิจปฏิบัติงาน,https://www.facebook.com/groups/1663666134840541/announcements?locale=th_TH,15,3,12,0,12,20%,1,1,0,0,11,20 มิ.ย. 2569 10:39,พระราชบัญญัติวิธีปฏิบัติราชการทางปกครอง พ.ศ. 2539 และที่แก้ไขเพิ่มเติม
สปยธ นักวิชาการยุติธรรม,สปยธ นักวิชาการยุติธรรมปฏิบัติการ,https://www.facebook.com/groups/2037689197124635?locale=th_TH,15,3,12,0,12,20%,6,3,0,3,6,15 มิ.ย. 2569 11:37,พระราชบัญญัติ ระเบียบบริหารราชการแผ่นดิน พ.ศ. 2534 และที่แก้ไขเพิ่มเติม
กกต. การเงิน,กกตการเงินพัสดุ2569,https://www.facebook.com/groups/1482224800585446/,21,10,11,0,11,48%,8,3,1,4,3,20 มิ.ย. 2569 23:31,ความรู้เกี่ยวกับเหตุการณ์ปัจจุบันทางด้านการเมืองการปกครอง เศรษฐกิจ และสังคม
กรม ปภ. นักวิชาการพัสดุ,กรม ปภ. นักวิชาการพัสดุปฏิบัติการ By ซุนวู,https://www.facebook.com/groups/2216206602465029,23,12,11,0,11,52%,4,1,1,2,7,3 มิ.ย. 2569 17:22,พระราชบัญญัติวินัยการเงินการคลังของรัฐ พ.ศ. 2561
กรม ปภ. นิติกร,กรม ปภ. นิติกร,https://www.facebook.com/groups/2731761870527884/announcements?locale=th_TH,27,16,9,2,11,59%,5,0,2,3,6,20 มิ.ย. 2569 10:45,ระเบียบสำนักนายกรัฐมนตรีว่าด้วยหลักเกณฑ์การปฏิบัติเกี่ยวกับความรับผิดทางละเมิดของเจ้าหน้าที่ พ.ศ. 2539
กทม. นักวิชาการศึกษา,กทม. นักวิชาการศึกษา,https://www.facebook.com/groups/1922952399108991/announcements?locale=th_TH,13,3,10,0,10,23%,2,0,0,2,8,,
นักวิชาการอุตสาหกรรมปฏิบัติการ,กรมส่งเสริมอุตสาหกรรม_Suntzu Tutor,https://www.facebook.com/groups/1155914223405158/announcements,13,3,10,0,10,23%,4,2,0,2,6,20 มิ.ย. 2569 21:08,ความรู้เกี่ยวกับพระราชบัญญัติการปฏิบัติราชการทางอิเล็กทรอนิกส์ พ.ศ. 2565
กกต. พัสดุ,กกตการเงินพัสดุ2569,https://www.facebook.com/groups/1482224800585446/,20,11,9,0,9,55%,7,3,1,3,2,20 มิ.ย. 2569 23:31,ความรู้เกี่ยวกับเหตุการณ์ปัจจุบันทางด้านการเมืองการปกครอง เศรษฐกิจ และสังคม
กรมการพัฒนาชุมชน เจ้าพนักงานธุรการปฏิบัติงาน,กรมการพัฒนาชุมชน เจ้าพนักงานธุรการปฏิบัติงาน,https://www.facebook.com/groups/1242664327590257,18,9,9,0,9,50%,5,3,1,1,4,4 มิ.ย. 2569 15:47,ระเบียบสำนักนายกรัฐมนตรีว่าด้วยงานสารบรรณ พ.ศ. 2526 และที่แก้ไขเพิ่มเติม
กรม ปภ. นักวิชาการเผยแพร่ปฏิบัติการ,กรม ปภ. นักวิชาการเผยแพร่ปฏิบัติการ By ซุนวู,https://www.facebook.com/groups/848235177881326/announcements,20,11,9,0,9,55%,2,0,1,1,7,,
สปอว. นักวิเคราะห์,สปอว. นักวิเคราะห์,https://www.facebook.com/groups/987982210353420/announcements?locale=th_TH,15,6,9,0,9,40%,5,2,1,2,4,,
กทม. นักวิชาการคลัง,กทม. นักวิชาการเงินและบัญชี / นักวิชาการคลัง,https://www.facebook.com/groups/955243797251736/posts/955279973914785/,11,3,8,0,8,27%,3,1,0,2,5,3 มิ.ย. 2569 17:22,พระราชบัญญัติ วินัยการเงินการคลังของรัฐ พ.ศ. 2561
กรม ปภ. นักวิเคราะห์นโยบายและแผน,กรม ปภ. นักวิเคราะห์นโยบายและแผน,https://www.facebook.com/groups/956605053931608/announcements?locale=th_TH,17,9,5,3,8,53%,3,0,1,2,5,10 มิ.ย. 2569 00:51,ระเบียบกระทรวงการคลังว่าด้วยการเบิกเงินจากคลัง การรับเงิน การจ่ายเงิน การเก็บ รักษาเงิน และการนำเงินส่งคลัง พ.ศ. 2562 และที่แก้ไขเพิ่มเติม
สปสธ. เจ้าพนักงานการเงินและบัญชีปฏิบัติงาน,สปสธ. เจ้าพนักงานการเงินและบัญชีปฏิบัติงาน by พี่ซุนวู,https://www.facebook.com/groups/26357425820603850/,12,4,8,0,8,33%,1,0,0,1,7,3 มิ.ย. 2569 17:22,ความรู้เกี่ยวกับพระราชบัญญัติวินัยการเงินการคลังของรัฐ พ.ศ. 2561
กรมการพัฒนาชุมชน / พัฒนากร,กรมการพัฒนาชุมชน / พัฒนากร,https://www.facebook.com/groups/1242664327590257/announcements?locale=th_TH,17,10,7,0,7,59%,4,1,1,2,3,,
