ตำแหน่ง,กลุ่ม,ลำดับ,ชื่อวิชา/หัวข้อ,ประเภทที่ต้องตรวจ,สถานะลิงก์คลิปในชีต,สถานะเอกสาร,ลิงก์โพสต์/กลุ่มในชีต,ลงคลิป(คอลัมน์ชีต),มีคลิปในเครื่อง?,ระดับการจับคู่,คะแนน,คลิปที่น่าจะตรงที่สุด,path คลิป,คำที่เจอ,ปีในคลิป,หมายเหตุ,อัปเดตล่าสุด
กกต. การเงิน,กกตการเงินพัสดุ2569,1,ความรู้ในหลักวิชาทางการเมืองการปกครองในระบอบประชาธิปไตยอันมีพระมหากษัตริย์ทรงเป็นประมุข,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ลงลิงก์แล้ว,https://www.facebook.com/groups/1482224800585446/,,มี,ตรงมาก,100,การปกครองระบอบประชาธิปไตย.mp4,D:\ตัดแล้ว\ความรู้ในหลักวิชาทางการเมืองการปกครองในระบอบประชาธิปไตยอันมีพระมหากษัตริย์ทรงเป็นประมุข\การปกครองระบอบประชาธิปไตย.mp4,ความรู้ในหลักวิชาทางการเมืองการปกครองในระบอบประชาธิปไตยอันมีพระมหากษัตริย์ทรงเป็นประมุข | หลักวิชาทางการเมืองการปกครอง | หลักวิชา | การเมืองการปกครอง | ระบอบประชาธิปไตย | ประชาธิปไตย | พระมหากษัตริย์ทรงเป็นประมุข | พระมหากษัตริย์ | ทรงเป็นประมุข | ประมุข,,,2026-06-03T09:52:52.656Z
กกต. การเงิน,กกตการเงินพัสดุ2569,1,ยุทธศาสตร์ วิสัยทัศน์ พันธกิจ โครงสร้าง อำนาจหน้าที่ และภารกิจ,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1482224800585446/,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,2026-06-01T17:07:58.373Z
กกต. การเงิน,กกตการเงินพัสดุ2569,2,รัฐธรรมนูญแห่งราชอาณาจักรไทย พ.ศ. 2560,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ลงลิงก์แล้ว,https://www.facebook.com/groups/1482224800585446/,ยังไม่ลงคลิป,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,มี 2 EP https://youtu.be/MpP4C9ighv8,2026-06-02T03:28:00.441Z
กกต. การเงิน,กกตการเงินพัสดุ2569,2.2.2,ระเบียบสำนักนายกรัฐมนตรีว่าด้วยหลักเกณฑ์การปฏิบัติเกี่ยวกับความรับผิดทางละเมิดของเจ้าหน้าที่ พ.ศ. 2539,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1482224800585446/,ลงคลิปแล้ว,มี,ตรงมาก,100,ระเบียบสำนักนายกรัฐมนตรีว่า ความรับผิดทางละเมิดของเจ้าหน้าที่ พ.ศ. 2539 EP_2.mp4,D:\ตัดแล้ว\เมษา 69\23042026\ระเบียบสำนักนายกรัฐมนตรีว่า ความรับผิดทางละเมิดของเจ้าหน้าที่ พ.ศ. 2539 EP_2.mp4,2539 | ความรับผิดทางละเมิด | ละเมิด | เจ้าหน้าที่,2539,2 EP,
กกต. การเงิน,กกตการเงินพัสดุ2569,2.6,ระเบียบสารบรรณ+ระเบียบความลับ,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ลงลิงก์แล้ว,https://www.facebook.com/groups/1482224800585446/,ลงคลิปแล้ว,มี,ตรงมาก,94,สารบรรณ ความลับ.mp4,D:\ตัดแล้ว\มกรา 69\16012026\สารบรรณ ความลับ.mp4,ระเบียบสารบรรณ | สารบรรณ | ระเบียบความลับ | ความลับ,,อ.นัท,
กกต. การเงิน,กกตการเงินพัสดุ2569,3,ความรู้เกี่ยวกับนโยบายแห่งรัฐ และยุทธศาสตร์ชาติ,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1482224800585446/,,มี,มีคลิปใกล้เคียง ต้องตรวจ,44,07_นโยบายแห่งรัฐ_ยุทธศาสตร์ชาติ_ตัวเลือกหลัก_61-80.mp4,D:\ตัดแล้ว\เตรียมคลิปลง กตต\07 ยุทธศาสตร์ชาติ 20 ปี\07_นโยบายแห่งรัฐ_ยุทธศาสตร์ชาติ_ตัวเลือกหลัก_61-80.mp4,นโยบายแห่งรัฐ | ยุทธศาสตร์ชาติ | ยุทธศาสตร์ชาติ 20 ปี | ยุทธศาสตร์ชาติ20ปี,,,
กกต. การเงิน,กกตการเงินพัสดุ2569,5,กฎหมายว่าด้วยการได้มาซึ่งวุฒิสภา,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1482224800585446/,,มี,มีคลิปใกล้เคียง ต้องตรวจ,47,การไต่สวนสาธารณะ.mp4,D:\ตัดแล้ว\ลงแล้ว\111128\สิทธิ\การไต่สวนสาธารณะ.mp4,สว | ส ว,,,
กกต. การเงิน,กกตการเงินพัสดุ2569,6,กฎหมายว่าด้วยพรรคการเมือง,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1482224800585446/,,มี,น่าจะตรง,67,พรป พรรคการเมือง.mp4,D:\ตัดแล้ว\ลงแล้ว\211125\พรป พรรคการเมือง.mp4,กฎหมายว่าด้วยพรรคการเมือง | พรรคการเมือง,,,
กกต. การเงิน,กกตการเงินพัสดุ2569,7,กฎหมายว่าด้วยการเลือกตั้งสมาชิกสภาท้องถิ่นหรือผู้บริหารท้องถิ่น,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1482224800585446/,,มี,มีคลิปใกล้เคียง ต้องตรวจ,36,พระราชบัญญัติประกอบรัฐธรรมนูญว่าด้วยการเลือกตั้งสมาชิกสภาผู้แทนราษฎร พ.ศ. 2561.mp4,D:\ตัดแล้ว\เตรียมคลิปลง กตต\พระราชบัญญัติประกอบรัฐธรรมนูญว่าด้วยการเลือกตั้งสมาชิกสภาผู้แทนราษฎร พ.ศ. 2561\พระราชบัญญัติประกอบรัฐธรรมนูญว่าด้วยการเลือกตั้งสมาชิกสภาผู้แทนราษฎร พ.ศ. 2561.mp4,เลือกตั้ง | สมาชิกสภาผู้แทนราษฎร,2561,,
กกต. การเงิน,กกตการเงินพัสดุ2569,8,กฎหมายว่าด้วยการออกเสียงประชามติ,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1482224800585446/,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กกต. การเงิน,กกตการเงินพัสดุ2569,9,ความรู้เกี่ยวกับระบบการเงิน บัญชี และงบประมาณ,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1482224800585446/,,มี,มีคลิปใกล้เคียง ต้องตรวจ,45,การบริหารงบประมาณ เฉพาะนักจัด ปิดคอร์ส.mp4,D:\ตัดแล้ว\ลงแล้ว\การบริหารงบประมาณ เฉพาะนักจัด ปิดคอร์ส.mp4,งบประมาณ | งบ | บริหารงบประมาณ | การบริหารงบประมาณ,,,
กกต. พัสดุ,กกตการเงินพัสดุ2569,1,ความรู้ในหลักวิชาทางการเมืองการปกครองในระบอบประชาธิปไตยอันมีพระมหากษัตริย์ทรงเป็นประมุข,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ลงลิงก์แล้ว,https://www.facebook.com/groups/1482224800585446/,,มี,ตรงมาก,100,การปกครองระบอบประชาธิปไตย.mp4,D:\ตัดแล้ว\ความรู้ในหลักวิชาทางการเมืองการปกครองในระบอบประชาธิปไตยอันมีพระมหากษัตริย์ทรงเป็นประมุข\การปกครองระบอบประชาธิปไตย.mp4,ความรู้ในหลักวิชาทางการเมืองการปกครองในระบอบประชาธิปไตยอันมีพระมหากษัตริย์ทรงเป็นประมุข | หลักวิชาทางการเมืองการปกครอง | หลักวิชา | การเมืองการปกครอง | ระบอบประชาธิปไตย | ประชาธิปไตย | พระมหากษัตริย์ทรงเป็นประมุข | พระมหากษัตริย์ | ทรงเป็นประมุข | ประมุข,,,
กกต. พัสดุ,กกตการเงินพัสดุ2569,1,ยุทธศาสตร์ วิสัยทัศน์ พันธกิจ โครงสร้าง อำนาจหน้าที่ และภารกิจ,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1482224800585446/,ยังไม่ลงคลิป,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,อ.ลูกจันทร์ 2 EP https://www.youtube.com/watch?v=XAYXf2ETAGo,
กกต. พัสดุ,กกตการเงินพัสดุ2569,2.2.2,ระเบียบสำนักนายกรัฐมนตรีว่าด้วยหลักเกณฑ์การปฏิบัติเกี่ยวกับความรับผิดทางละเมิดของเจ้าหน้าที่ พ.ศ. 2539,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1482224800585446/,ยังไม่ลงคลิป,มี,ตรงมาก,100,ระเบียบสำนักนายกรัฐมนตรีว่า ความรับผิดทางละเมิดของเจ้าหน้าที่ พ.ศ. 2539 EP_2.mp4,D:\ตัดแล้ว\เมษา 69\23042026\ระเบียบสำนักนายกรัฐมนตรีว่า ความรับผิดทางละเมิดของเจ้าหน้าที่ พ.ศ. 2539 EP_2.mp4,2539 | ความรับผิดทางละเมิด | ละเมิด | เจ้าหน้าที่,2539,2 EP,2026-06-03T09:53:35.618Z
กกต. พัสดุ,กกตการเงินพัสดุ2569,2.6,ระเบียบสารบรรณ+ระเบียบความลับ,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ลงลิงก์แล้ว,https://www.facebook.com/groups/1482224800585446/,ยังไม่ลงคลิป,มี,ตรงมาก,94,สารบรรณ ความลับ.mp4,D:\ตัดแล้ว\มกรา 69\16012026\สารบรรณ ความลับ.mp4,ระเบียบสารบรรณ | สารบรรณ | ระเบียบความลับ | ความลับ,,อ.นัท,
กกต. พัสดุ,กกตการเงินพัสดุ2569,3,ความรู้เกี่ยวกับนโยบายแห่งรัฐ และยุทธศาสตร์ชาติ,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1482224800585446/,ยังไม่ลงคลิป,มี,มีคลิปใกล้เคียง ต้องตรวจ,44,07_นโยบายแห่งรัฐ_ยุทธศาสตร์ชาติ_ตัวเลือกหลัก_61-80.mp4,D:\ตัดแล้ว\เตรียมคลิปลง กตต\07 ยุทธศาสตร์ชาติ 20 ปี\07_นโยบายแห่งรัฐ_ยุทธศาสตร์ชาติ_ตัวเลือกหลัก_61-80.mp4,นโยบายแห่งรัฐ | ยุทธศาสตร์ชาติ | ยุทธศาสตร์ชาติ 20 ปี | ยุทธศาสตร์ชาติ20ปี,,https://www.youtube.com/watch?v=hPm4CmQobeQ,
กกต. พัสดุ,กกตการเงินพัสดุ2569,5,กฎหมายว่าด้วยการได้มาซึ่งวุฒิสภา,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1482224800585446/,,มี,มีคลิปใกล้เคียง ต้องตรวจ,47,การไต่สวนสาธารณะ.mp4,D:\ตัดแล้ว\ลงแล้ว\111128\สิทธิ\การไต่สวนสาธารณะ.mp4,สว | ส ว,,,
กกต. พัสดุ,กกตการเงินพัสดุ2569,6,กฎหมายว่าด้วยพรรคการเมือง,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1482224800585446/,,มี,น่าจะตรง,67,พรป พรรคการเมือง.mp4,D:\ตัดแล้ว\ลงแล้ว\211125\พรป พรรคการเมือง.mp4,กฎหมายว่าด้วยพรรคการเมือง | พรรคการเมือง,,,
กกต. พัสดุ,กกตการเงินพัสดุ2569,7,กฎหมายว่าด้วยการเลือกตั้งสมาชิกสภาท้องถิ่นหรือผู้บริหารท้องถิ่น,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1482224800585446/,,มี,มีคลิปใกล้เคียง ต้องตรวจ,36,พระราชบัญญัติประกอบรัฐธรรมนูญว่าด้วยการเลือกตั้งสมาชิกสภาผู้แทนราษฎร พ.ศ. 2561.mp4,D:\ตัดแล้ว\เตรียมคลิปลง กตต\พระราชบัญญัติประกอบรัฐธรรมนูญว่าด้วยการเลือกตั้งสมาชิกสภาผู้แทนราษฎร พ.ศ. 2561\พระราชบัญญัติประกอบรัฐธรรมนูญว่าด้วยการเลือกตั้งสมาชิกสภาผู้แทนราษฎร พ.ศ. 2561.mp4,เลือกตั้ง | สมาชิกสภาผู้แทนราษฎร,2561,,
กกต. พัสดุ,กกตการเงินพัสดุ2569,8,กฎหมายว่าด้วยการออกเสียงประชามติ,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1482224800585446/,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กทม. เจ้าพนักงานธุรการ,กทม. เจ้าพนักงานธุรการ,1,ความรู้เกี่ยวกับแนวทางปฏิบัติงานธุรการงานสารบรรณ งานพัสดุ การบริหารงานบุคคล,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1600436281247690/announcements?locale=th_TH,,มี,น่าจะตรง,57,07 - ระเบียบสำนักนายกรัฐมนตรีว่าด้วยงานสารบรรณ พ.ศ. 2526 และที่แก้ไขเพิ่มเติม.mp4,D:\ตัดแล้ว\เตรียมคลิป สป อว\07 - ระเบียบสำนักนายกรัฐมนตรีว่าด้วยงานสารบรรณ พ.ศ. 2526 และที่แก้ไขเพิ่มเติม.mp4,สารบรรณ | งานสารบรรณ | 2526,2526,,2026-06-04T08:44:19.044Z
